AmericanaWin,AnacondaWin,ArmTriangleWin,BeingClinched,BodyKicksAbsorbed,BulldogWin,CalfSlicerWin,CenterOctagon,CrossesAbsorbed,DEC,DarceWin,EzekielWin,FightsTracked,GogoplataWin,GuillotineWin,HeadKicksAbsorbed,HeelHookWin,HooksAbsorbed,InClinch,JabsAbsorbed,KO,KimuraWin,KneeBarWin,LegKicksAbsorbed,LeglockWin,MinutesTracked,NeckCrankWin,OmoplataWin,OnBottomGround,OnTopGround,OtherSubWin,PushedBackToCage,PushingAgainstCage,RNCWin,RoundsTracked,SUB,StraightArmLockWin,StraightsAbsorbed,SulovStretchWin,TKO,TimesKnockedDown,TimesStunned,TotalBodyKickAttempt,TotalBodyKickMake,TotalCrossAttempt,TotalCrossMake,TotalHeadKickAttempt,TotalHeadKickMake,TotalHookAttempt,TotalHookMake,TotalJabAttempt,TotalJabMake,TotalKnockDowns,TotalLegKickAttempt,TotalLegKickMake,TotalPositionPoints,TotalStraightAttempt,TotalStraightMake,TotalStuns,TotalTDAttempt,TotalTDMake,TotalUppercutAttempt,TotalUppercutMake,TriangleArmBarWin,TriangleWin,TwisterWin,UppercutsAbsorbed,_id,gymCode,gymCountry,gymLoss,gymName,gymState,gymWins,round1StrikesLanded,round2StrikesLanded,round3StrikesLanded,round4StrikesLanded,round5StrikesLanded
0,0,0,0,55,0,0,0,0,4,0,0,9,0,0,13,0,114,0,61,0,0,0,72,0,0,0,0,0,0,0,0,0,0,24,3,0,55,0,0,2,5,25,19,0,0,27,2,212,74,463,109,1,53,45,0,183,60,0,32,13,18,6,0,0,0,11,639979eee3581814afc85a10,KingsMMA,USA,3,Kings MMA,California,6,241,125,67,56,23
0,0,0,0,18,0,0,0,14,6,0,0,12,0,0,6,0,132,0,114,0,0,0,73,0,0,0,0,0,0,0,0,0,0,32,1,0,72,0,1,5,5,43,28,41,15,48,4,654,190,701,139,0,33,24,0,171,58,6,57,21,52,20,0,0,0,7,63997b4511c0b7fb1f19b6f0,Roufusport,USA,3,Roufusport,Wisconsin,8,257,248,185,19,15
0,0,0,0,130,0,0,0,1,9,0,0,39,0,0,14,0,612,0,347,3,0,0,289,0,0,0,0,0,0,0,0,0,0,105,4,0,233,0,4,11,25,218,140,0,0,109,8,1660,636,1372,411,17,266,193,0,572,214,21,153,59,113,69,0,0,0,63,63997b5f6634ac9c0bf1b4ad,KillCliffFC,USA,16,Kill Cliff FC,Florida,22,906,794,490,183,139
0,0,0,0,71,0,0,0,0,2,0,0,27,0,0,10,0,166,0,127,3,0,0,125,0,0,0,0,0,0,0,0,0,0,50,1,0,91,0,5,14,5,64,48,0,0,33,4,608,218,414,137,5,113,82,0,138,46,1,35,14,33,20,0,0,0,14,63997d05354d20d24b1173f2,XtremeCouture,USA,16,Xtreme Couture,Nevada,11,464,235,145,15,9
0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,36,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,15,0,0,1,5,3,3,0,0,5,1,60,20,16,1,3,2,1,0,4,3,0,19,8,3,0,0,0,0,2,6399799c0b63e4502aecd399,GloryMMA,USA,1,Glory MMA and Fitness,Missouri,1,15,13,15,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639974de620dbbd622bdc8fb,4ozFightClub,USA,0,4oz Fight Club,Texas,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639976b15c9bb6a1afe30fce,AustralianTopTeam,Australia,0,Australian Top Team,Sydney,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,110,0,14,0,0,0,31,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,2,8,6,0,0,9,0,148,50,192,65,0,7,7,0,81,34,1,3,2,1,0,0,0,0,11,63997553a3ff567429cb322b,303TrainingCenter,USA,1,303 Training Center,Colorado,1,64,61,28,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63997af89a99711eccbec298,PellegrinoMMA,USA,0,Pellegrino MMA,New Jersey,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,8,0,0,25,0,0,6,0,280,0,243,4,0,0,189,0,0,0,0,0,0,0,0,0,0,71,1,0,120,0,4,2,6,263,195,0,0,93,26,1030,390,681,273,5,250,191,0,435,182,7,66,43,35,19,0,0,0,37,63997c3c5297361c64cf5453,TigerMuayThai,Thailand,6,Tiger Muay Thai,Phuket,19,617,760,468,241,156
0,0,0,0,13,0,0,0,5,0,0,0,3,0,0,5,0,100,0,90,0,0,0,23,0,0,0,0,0,0,0,0,0,0,9,0,0,29,0,0,4,2,30,12,12,5,10,2,226,74,281,94,1,67,52,0,75,27,4,5,0,29,15,0,0,0,11,63997c68822d02fee6dd1c34,TigerSchulmann,USA,3,"Tiger Schulmann's Mixed Martial Arts",New Jersey,0,91,98,113,0,0
0,0,0,0,968,0,0,0,11,48,0,0,305,0,0,128,0,4368,0,2965,18,0,0,2087,0,0,0,0,0,0,0,0,0,0,715,17,0,1570,0,38,85,131,1346,898,31,8,771,143,12188,4264,8942,2766,86,2557,1892,0,3845,1564,145,565,231,692,346,0,0,0,345,63997cef45e18c93fb3e8e81,UFCPI,USA,179,UFC Performance Institute,Nevada,120,5630,4288,3179,944,866
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6399756e5469f727f111f759,808FightFactory,USA,0,808 Fight Factory,Hawaii,0,0,0,0,0,0
0,0,0,0,19,0,0,0,0,0,0,0,6,0,0,4,0,38,0,30,1,0,0,49,0,0,0,0,0,0,0,0,0,0,13,0,0,11,0,0,6,1,17,9,0,0,17,0,234,72,130,26,1,51,41,0,76,27,1,13,5,18,2,0,0,0,1,639975dfd3e3789da47c8788,AllianceMMA,USA,4,Alliance MMA,California,1,55,77,58,11,0
0,0,0,0,86,0,0,0,0,6,0,0,33,0,0,12,0,374,0,273,3,0,0,103,0,0,0,0,0,0,0,0,0,0,73,0,0,150,0,11,7,15,72,57,0,0,45,11,988,386,1185,304,10,248,205,0,384,172,23,95,35,72,48,0,0,0,45,6399788d9702cf131b3a03ea,ElevationFightTeam,USA,13,Elevation Fight Team,Colorado,20,758,453,311,60,68
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63997a1b91844329110bb238,LongIslandMMA,USA,0,Long Island MMA,New York,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,80,0,45,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,22,0,1,0,0,10,3,0,0,3,0,44,10,272,102,1,1,0,0,37,11,3,0,0,11,7,0,0,0,5,63997aa01b0c2ed1ba2e597c,NewEnglandCartel,USA,1,New England Cartel,Massachusetts,1,62,24,27,35,32
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,0,1,2,4,2,0,0,2,0,38,14,37,10,0,9,9,0,27,10,0,2,0,5,4,0,0,0,2,63997bfe0d23813fbf0cc7bd,TeamLloydIrvin,USA,1,Team Lloyd Irvin,Maryland,0,31,38,49,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639976d1b31fb3efd4ec3f99,BellmoreKickboxingMMA,USA,0,Bellmore Kickboxing MMA,New York,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6399763ea9587874d0b635aa,ArizonaCombatSports,USA,0,Arizona Combat Sports,Arizona,0,0,0,0,0,0
0,0,0,0,86,0,0,0,0,15,0,0,28,0,0,25,0,600,0,399,2,0,0,273,0,0,0,0,0,0,0,0,0,0,95,0,0,141,0,2,8,15,191,135,0,0,172,21,1930,710,1518,480,13,761,602,0,542,201,14,54,17,65,24,0,0,0,34,639977f68c1a40cbb03c5d53,CKB,New Zealand,10,City Kickboxing,Auckland,18,531,617,641,346,327
0,0,0,0,32,0,0,0,0,0,0,0,6,0,0,7,0,142,0,75,0,0,0,104,0,0,0,0,0,0,0,0,0,0,20,0,0,58,0,3,6,5,22,15,0,0,21,4,442,128,175,45,3,92,75,0,131,48,3,25,5,11,3,0,0,0,5,63997928b2b8a7dc91382dcc,FightReady,USA,3,Fight Ready MMA,Arizona,3,69,114,96,47,46
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63997b0f12bf64745363569b,RAJJ,USA,0,Ricardo Almeida Jiu Jitsu,New Jersey,0,0,0,0,0,0
0,0,0,0,23,0,0,0,0,1,0,0,9,0,0,11,0,170,0,75,0,0,0,67,0,0,0,0,0,0,0,0,0,0,21,3,0,49,0,0,1,4,47,29,0,0,37,4,244,86,298,93,0,71,54,0,140,48,1,23,12,1,0,0,0,0,11,63997b287015b3986ad45d75,RenzoGracieAcademy,USA,4,Renzo Gracie Academy,New York,5,316,200,105,2,0
0,0,0,0,19,0,0,0,0,2,0,0,12,0,0,5,0,84,0,36,0,0,0,59,0,0,0,0,0,0,0,0,0,0,26,5,0,21,0,2,1,3,20,18,0,0,13,2,244,92,165,40,2,46,29,0,76,49,4,28,19,19,9,0,0,0,9,639975bfca08c722e5963e44,AKA,USA,4,American Kickboxing Academy,California,8,385,215,151,32,0
