_id,draw,fighterAge,fighterHeight,fighterLOC,fighterName,fighterReach,fighterURL,loss,weightClass,wins
64445aeeca69df223110e540,0,30,"5'5""","State Of São Paulo, Brazil",Rogerio Bontorin,67.00,https://www.ufc.com/athlete/rogerio-bontorin,4,Flyweight,17
64445af4ca69df223110e541,0,29,"5'4""","Tucson, United States",Ray Borg,63.00,https://www.ufc.com/athlete/ray-borg,5,Bantamweight,13
64445afbca69df223110e542,0,N/A,"6'1""","Kcmo, United States",Calen Born,N/A,https://www.ufc.com/athlete/calen-born,1,Welterweight,7
64445b01ca69df223110e543,0,30,"5'10""","State Of Maranhão, Brazil",Caio Borralho,75.00,https://www.ufc.com/athlete/caio-borralho,1,Middleweight,14
64445b0bca69df223110e544,0,N/A,N/A,"San Antonio, United States",Zach Borrego,N/A,https://www.ufc.com/athlete/zach-borrego,1,Middleweight,0
64445b12ca69df223110e545,0,31,"5'11""","Volgograd, Russia",Viacheslav Borshchev,69.00,https://www.ufc.com/athlete/viacheslav-borshchev,3,Lightweight,6
64445b1bca69df223110e546,1,31,"6'2""","Bonnyville, Canada",Tanner Boser,75.50,https://www.ufc.com/athlete/tanner-boser,10,Light Heavyweight,20
64445b27ca69df223110e547,0,41,"5'11""",Canada,Steve Bosse,72.00,https://www.ufc.com/athlete/steve-bosse,2,Light Heavyweight,12
64445b2fca69df223110e548,0,N/A,N/A,United States,Marcus Bossett,N/A,https://www.ufc.com/athlete/skott-beyker-2,0,,0
64445b36ca69df223110e549,0,34,"5'8""","State Of Minas Gerais, Brazil",Poliana Botelho,67.00,https://www.ufc.com/athlete/poliana-botelho,5,"Women's Flyweight",8
64445b3fca69df223110e54a,0,N/A,N/A,United States,Tai Bowden,N/A,https://www.ufc.com/athlete/skott-beyker-3,0,,0
64445b46ca69df223110e54b,0,N/A,N/A,"Irmo, United States",Melton Bowen,N/A,https://www.ufc.com/athlete/melton-bowen,0,,0
64445b4fca69df223110e54c,0,N/A,N/A,"Springfield, United States",Kyron Bowen,N/A,https://www.ufc.com/athlete/kyron-bowen,1,Middleweight,0
64445b5bca69df223110e54d,0,N/A,N/A,"Charleston, United States",Brian Bowles,N/A,https://www.ufc.com/athlete/brian-bowles,3,Bantamweight,10
64445b64ca69df223110e54e,0,N/A,"5'8""",United States,Roger Bowling,N/A,https://www.ufc.com/athlete/roger-bowling,5,Lightweight,11
